lambda,final_result,solve_time_ms,decisions,propagations,conflicts,backtracks,learned_clauses,pearson_all,pearson_active
0.0,sat,0.587458,394,2693,18,18,18,0.15150117890398462,0.19197102422671705
0.25,sat,0.616792,394,2693,18,18,18,0.1627082128922081,0.2297520076889498
0.5,sat,0.615042,394,2693,18,18,18,0.1725149773412209,0.26132713209234704
0.75,sat,0.651667,394,2693,18,18,18,0.181128710359167,0.2879494016304659
1.0,sat,0.6045,394,2693,18,18,18,0.18872550199692598,0.3105977291422163
1.25,sat,0.628875,394,2693,18,18,18,0.19545383503035904,0.33003381904330525
1.5,sat,0.656875,394,2693,18,18,18,0.20143843929609728,0.34685156008225326
1.75,sat,0.630542,394,2693,18,18,18,0.20678396766014884,0.3615164715876006
2.0,sat,0.575292,394,2693,18,18,18,0.2115782799493963,0.3743960452782023
2.25,sat,0.677375,394,2693,18,18,18,0.2158952709020482,0.38578269923388553
2.5,sat,0.622833,394,2693,18,18,18,0.21979725302308484,0.39591104237531405
2.75,sat,0.589834,394,2693,18,18,18,0.22333693836509672,0.40497086211600003
3.0,sat,0.6445,394,2693,18,18,18,0.22655907425419092,0.4131169300455771
10.0,sat,0.590583,394,2693,18,18,18,0.26351147180265183,0.5013619481780258
50.0,sat,0.636666,461,3106,19,19,19,0.28424471052325034,0.5496034313410232
