lambda,final_result,solve_time_ms,decisions,propagations,conflicts,backtracks,learned_clauses,pearson_all,pearson_active
0.0,sat,0.010625,11,16,0,0,0,undefined,undefined
0.25,sat,0.009542,11,16,0,0,0,undefined,undefined
0.5,sat,0.0105,11,16,0,0,0,undefined,undefined
0.75,sat,0.010167,11,16,0,0,0,undefined,undefined
1.0,sat,0.009959,11,16,0,0,0,undefined,undefined
1.25,sat,0.014625,11,16,0,0,0,undefined,undefined
1.5,sat,0.010666,11,16,0,0,0,undefined,undefined
1.75,sat,0.00975,11,16,0,0,0,undefined,undefined
2.0,sat,0.011666,11,16,0,0,0,undefined,undefined
2.25,sat,0.012,11,16,0,0,0,undefined,undefined
2.5,sat,0.0115,11,16,0,0,0,undefined,undefined
2.75,sat,0.011708,11,16,0,0,0,undefined,undefined
3.0,sat,0.009917,11,16,0,0,0,undefined,undefined
10.0,sat,0.013375,11,16,0,0,0,undefined,undefined
50.0,sat,0.011041,11,16,0,0,0,undefined,undefined
