lambda,final_result,solve_time_ms,decisions,propagations,conflicts,backtracks,learned_clauses,pearson_all,pearson_active
0.0,sat,8.184542,9243,40708,228,229,228,0.22476498805602801,0.13493980717828183
0.25,sat,38.595958,12689,57053,306,308,306,0.24650874740133016,0.13281077555502263
0.5,sat,9.8915,11662,50800,256,258,256,0.14810814190590046,0.04103899138744592
0.75,sat,40.855292,14054,80095,422,424,422,0.23246602320963697,0.18133384910915987
1.0,sat,39.036875,16677,67785,263,265,263,0.2910424401032727,0.22405941480273053
1.25,sat,35.896625,9652,50111,313,315,313,0.2717611090152948,0.19810537112252136
1.5,sat,8.417417,8461,41389,246,247,246,0.22780062366338663,0.14256272456548466
1.75,sat,38.969583,13688,61780,298,300,298,0.21795901794535105,0.14246627070521214
2.0,sat,39.619125,13088,56497,291,293,291,0.2987661446357114,0.2524257405386475
2.25,sat,8.236541,11654,45029,222,223,222,0.43052262980224765,0.41792363503345165
2.5,sat,38.072083,11620,54347,293,295,293,0.47362510733899793,0.46015152060379866
2.75,sat,41.902583,17665,91110,393,395,393,0.378933455951305,0.3520011907716058
3.0,sat,38.221542,10669,50086,295,297,295,0.31681285814568216,0.27887644379805937
10.0,sat,51.218709,21261,125325,519,522,519,0.3692008052974303,0.35483309164904636
50.0,sat,46.43025,16351,96102,528,531,528,0.3288658616877724,0.3219096538848197
1000,sat,40.280792,11404,58620,324,326,324,0.5407835759796936,0.5782564427996013
5000,sat,37.58175,9783,50205,282,284,282,0.5471339628581832,0.6191931621461748
10000,sat,6.548292,8150,30819,215,216,215,0.4573399447414074,0.5514666012485921
20000,sat,35.028208,10744,46378,258,260,258,0.5311394450710372,0.5983154210078258
50000,sat,7.491458,10282,40311,212,213,212,0.4163035404083902,0.4956735864822757
