lambda,final_result,solve_time_ms,decisions,propagations,conflicts,backtracks,learned_clauses,pearson_all,pearson_active
0.0,sat,0.08975,148,317,8,8,8,0.30222220524353133,0.5854903999817908
0.25,sat,0.09475,147,317,8,8,8,0.33835235983875894,0.6949837585667863
0.5,sat,0.091417,147,317,8,8,8,0.36716239782685417,0.759994116227303
0.75,sat,0.094125,147,317,8,8,8,0.39029783285109404,0.8010339538207559
1.0,sat,0.09175,147,317,8,8,8,0.4090517048149327,0.8284907501925759
1.25,sat,0.09275,147,317,8,8,8,0.4244122818349756,0.8477882280141303
1.5,sat,0.094792,147,317,8,8,8,0.43712687774703746,0.861914269464045
1.75,sat,0.093875,147,317,8,8,8,0.4477599049012632,0.8726070331196562
2.0,sat,0.097167,147,317,8,8,8,0.4567393732034253,0.8809288509851438
2.25,sat,0.093375,147,317,8,8,8,0.46439212989283907,0.887557665553918
2.5,sat,0.091375,147,317,8,8,8,0.47096990494629654,0.8929426099472964
2.75,sat,0.091875,147,317,8,8,8,0.47666837047917826,0.8973910295685439
3.0,sat,0.101542,147,317,8,8,8,0.4816410643153678,0.9011192487747359
10.0,sat,0.0925,147,317,8,8,8,0.5260705630897226,0.9294407532029039
50.0,sat,0.104167,147,317,8,8,8,0.5419413524679704,0.9382480127246172
